Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-23,11:00,,20,14,,,,
2016-10-23,12:00,,10,10,,,,
2016-10-23,13:00,,10,11,,,,
2016-10-23,14:00,,7,13,,,,
2016-10-23,15:00,,10,17,,,,
2016-10-23,16:00,,35,30,,,,
2016-10-23,17:00,,21,29,,,,
2016-10-23,18:00,,45,40,,,,
2016-10-23,19:00,,32,28,,,,
2016-10-23,20:00,,24,28,,,,
2016-10-23,21:00,,12,19,,,,
2016-10-23,22:00,,13,16,,,,
2016-10-23,23:00,,2,13,,,,
2016-10-24,00:00,,1,9,,,,
2016-10-24,01:00,,2,8,,,,
2016-10-24,02:00,,4,8,,,,
2016-10-24,03:00,,5,12,,,,
2016-10-24,04:00,,13,14,,,,
2016-10-24,05:00,,22,17,,,,
2016-10-24,06:00,,44,22,,,,
2016-10-24,07:00,,55,25,,,,
2016-10-24,08:00,,37,22,,,,
2016-10-24,09:00,,39,20,,,,
2016-10-24,10:00,,52,22,,,,
2016-10-24,11:00,,50,22,,,,
2016-10-24,12:00,,66,26,,,,
2016-10-24,13:00,,62,28,,,,
2016-10-24,14:00,,60,29,,,,
2016-10-24,15:00,,51,28,,,,
2016-10-24,16:00,,30,26,,,,
2016-10-24,17:00,,15,18,,,,
2016-10-24,18:00,,15,16,,,,
2016-10-24,19:00,,9,17,,,,
2016-10-24,20:00,,24,21,,,,
2016-10-24,21:00,,45,18,,,,
2016-10-24,22:00,,19,12,,,,
2016-10-24,23:00,,30,13,,,,
2016-10-25,00:00,,25,10,,,,
2016-10-25,01:00,,13,12,,,,
2016-10-25,02:00,,23,14,,,,
2016-10-25,03:00,,29,18,,,,
2016-10-25,04:00,,52,18,,,,
2016-10-25,05:00,,73,21,,,,
2016-10-25,06:00,,131,27,,,,
2016-10-25,07:00,,195,39,,,,
2016-10-25,08:00,,167,35,,,,
2016-10-25,09:00,,118,31,,,,
2016-10-25,10:00,,112,33,,,,
2016-10-25,11:00,,93,27,,,,
2016-10-25,12:00,,108,30,,,,
2016-10-25,13:00,,105,31,,,,
2016-10-25,14:00,,106,36,,,,
2016-10-25,15:00,,102,36,,,,
2016-10-25,16:00,,100,43,,,,
2016-10-25,17:00,,109,40,,,,
2016-10-25,18:00,,155,38,,,,
2016-10-25,19:00,,26,32,,,,
2016-10-25,20:00,,11,28,,,,
2016-10-25,21:00,,22,29,,,,
2016-10-25,22:00,,17,28,,,,
2016-10-25,23:00,,10,27,,,,
2016-10-26,00:00,,6,23,,,,
2016-10-26,01:00,,3,24,,,,
2016-10-26,02:00,,5,21,,,,
2016-10-26,03:00,,6,16,,,,
2016-10-26,04:00,,7,13,,,,
2016-10-26,05:00,,15,13,,,,
2016-10-26,06:00,,95,36,,,,
2016-10-26,07:00,,99,45,,,,
2016-10-26,08:00,,118,43,,,,
2016-10-26,09:00,,105,42,,,,
2016-10-26,10:00,,91,37,,,,
2016-10-26,11:00,,74,31,,,,
2016-10-26,12:00,,65,29,,,,
