Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-03-18,21:00,,0.1,1,10,79,,,2.3
2000-03-18,22:00,,0.3,1,16,68,,,3.6
2000-03-18,23:00,,0.1,1,17,63,,,4.3
2000-03-19,,,,,,,11,,
2000-03-19,00:00,,0.1,1,19,57,,,4.1
2000-03-19,01:00,,0.1,1,15,55,,,2.2
2000-03-19,02:00,,0.1,1,13,,,,2.1
2000-03-19,03:00,,0.1,,,47,,,1.8
2000-03-19,04:00,,0.1,1,12,44,,,1.9
2000-03-19,05:00,,0.1,1,10,44,,,2.1
2000-03-19,06:00,,0.1,1,8,51,,,
2000-03-19,07:00,,0.1,1,9,52,,,2.6
2000-03-19,08:00,,0.1,1,10,54,,,3.9
2000-03-19,09:00,,0.1,1,9,58,,,1.5
2000-03-19,10:00,,0.1,1,7,67,,,1.2
2000-03-19,11:00,,0.1,1,6,69,,,1.0
2000-03-19,12:00,,0.1,1,5,74,,,1.0
2000-03-19,13:00,,0.1,1,4,82,,,1.0
2000-03-19,14:00,,0.1,1,4,80,,,1.0
2000-03-19,15:00,,0.1,1,5,82,,,1.0
2000-03-19,16:00,,0.1,1,4,87,,,1.0
2000-03-19,17:00,,0.1,1,4,87,,,1.0
2000-03-19,18:00,,0.1,1,4,85,,,1.0
2000-03-19,19:00,,0.1,1,5,81,,,1.0
2000-03-19,20:00,,0.1,1,5,76,,,1.0
2000-03-19,21:00,,0.1,1,6,70,,,1.0
2000-03-19,22:00,,0.1,1,7,68,,,1.0
2000-03-19,23:00,,0.1,1,6,73,,,1.0
2000-03-20,,,,,,,18,,
2000-03-20,00:00,,0.1,1,6,73,,,1.1
2000-03-20,01:00,,0.1,1,6,73,,,2.2
2000-03-20,02:00,,0.1,,,,,,2.3
2000-03-20,03:00,,0.1,1,15,58,,,2.2
2000-03-20,04:00,,0.1,1,10,62,,,3.3
2000-03-20,05:00,,0.1,1,14,58,,,
2000-03-20,06:00,,0.1,1,20,48,,,5.2
2000-03-20,07:00,,0.2,2,26,40,,,8.4
2000-03-20,08:00,,0.2,5,30,34,,,5.7
2000-03-20,09:00,,0.2,6,30,32,,,7.3
2000-03-20,10:00,,0.1,4,23,41,,,5.5
